ci_lower,ci_upper,condition_a,condition_b,effect_size,metric,p_value,p_value_holm,test
,,B1_rules_mutable,B2_signed_nopattern,,time_to_expulsion,3.934979595775655e-10,7.082963272396125e-09,logrank
-5.0,-2.475,B1_rules_mutable,B2_signed_nopattern,-0.5625,fallout_broadcasts,1.1232885183578766e-05,0.00017972616293726026,mann_whitney_u
-0.4,0.39999999999999997,B1_rules_mutable,B2_signed_nopattern,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-1.0500000000000003,0.5999999999999999,B1_rules_mutable,B2_signed_nopattern,-0.03125,wash_trades_accepted,0.7984858082670347,1.0,mann_whitney_u
-1.275,0.9499999999999997,B1_rules_mutable,B2_signed_nopattern,-0.03125,collusive_endorsements_accepted,0.7984858082670347,1.0,mann_whitney_u
-0.34999999999999987,0.11499999999999977,B1_rules_mutable,B2_signed_nopattern,-0.21875,fraudulent_reputation_gain,0.08555124918998647,1.0,mann_whitney_u
,,B1_rules_mutable,C1_vukzero_accountability,,time_to_expulsion,1.0,1.0,logrank
-0.8250000000000002,0.7750000000000004,B1_rules_mutable,C1_vukzero_accountability,0.0,fallout_broadcasts,1.0,1.0,mann_whitney_u
-0.4,0.39999999999999997,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.7,0.75,B1_rules_mutable,C1_vukzero_accountability,0.0,wash_trades_accepted,1.0,1.0,mann_whitney_u
-1.1,1.05,B1_rules_mutable,C1_vukzero_accountability,0.0,collusive_endorsements_accepted,1.0,1.0,mann_whitney_u
-0.2450000000000001,0.23999999999999977,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_reputation_gain,1.0,1.0,mann_whitney_u
,,B2_signed_nopattern,C1_vukzero_accountability,,time_to_expulsion,3.934979595775625e-10,7.082963272396125e-09,logrank
2.45,4.9750000000000005,B2_signed_nopattern,C1_vukzero_accountability,0.5625,fallout_broadcasts,1.1232885183578766e-05,0.00017972616293726026,mann_whitney_u
-0.4,0.39999999999999997,B2_signed_nopattern,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.55,1.1,B2_signed_nopattern,C1_vukzero_accountability,0.03125,wash_trades_accepted,0.7984858082670347,1.0,mann_whitney_u
-1.0,1.2,B2_signed_nopattern,C1_vukzero_accountability,0.03125,collusive_endorsements_accepted,0.7984858082670347,1.0,mann_whitney_u
-0.1100000000000001,0.3450000000000002,B2_signed_nopattern,C1_vukzero_accountability,0.21875,fraudulent_reputation_gain,0.08555124918998647,1.0,mann_whitney_u
