ci_lower,ci_upper,condition,median_time_to_expulsion,survival_probability,time
1.0,1.0,B1_rules_mutable,2.0,1.0,0.0
0.5851916835991766,0.856879584741089,B1_rules_mutable,2.0,0.7500000000000001,1.0
0.338270367323897,0.6419407807686232,B1_rules_mutable,2.0,0.49999999999999994,2.0
0.129797065120817,0.39014296519045316,B1_rules_mutable,2.0,0.25000000000000006,3.0
0.04575233896708667,0.24613691460060852,B1_rules_mutable,2.0,0.12499999999999997,6.0
0.0,0.0,B1_rules_mutable,2.0,0.0,18.0
1.0,1.0,B2_signed_nopattern,inf,1.0,0.0
0.5851916835991766,0.856879584741089,B2_signed_nopattern,inf,0.7500000000000001,1.0
0.5851916835991766,0.856879584741089,B2_signed_nopattern,inf,0.7500000000000001,19.0
0.5851916835991766,0.856879584741089,B2_signed_nopattern,inf,0.7500000000000001,21.0
0.5851916835991766,0.856879584741089,B2_signed_nopattern,inf,0.7500000000000001,23.0
1.0,1.0,C1_vukzero_accountability,2.0,1.0,0.0
0.5851916835991766,0.856879584741089,C1_vukzero_accountability,2.0,0.7500000000000001,1.0
0.338270367323897,0.6419407807686232,C1_vukzero_accountability,2.0,0.49999999999999994,2.0
0.129797065120817,0.39014296519045316,C1_vukzero_accountability,2.0,0.25000000000000006,3.0
0.04575233896708667,0.24613691460060852,C1_vukzero_accountability,2.0,0.12499999999999997,6.0
0.0,0.0,C1_vukzero_accountability,2.0,0.0,18.0
