ci_lower,ci_upper,condition_a,condition_b,effect_size,metric,p_value,p_value_holm,test
,,B1_rules_mutable,B2_signed_nopattern,,time_to_expulsion,1.3458151419857453e-13,2.422467255574324e-12,logrank
-4.166666666666667,-2.266666666666667,B1_rules_mutable,B2_signed_nopattern,-0.4930555555555556,fallout_broadcasts,2.3542238346024447e-06,3.7667581353639115e-05,mann_whitney_u
-0.30000000000000004,0.3333333333333333,B1_rules_mutable,B2_signed_nopattern,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.7666666666666666,0.43333333333333335,B1_rules_mutable,B2_signed_nopattern,-0.013888888888888888,wash_trades_accepted,0.8895132198314843,1.0,mann_whitney_u
-0.8999999999999999,0.7333333333333334,B1_rules_mutable,B2_signed_nopattern,-0.013888888888888888,collusive_endorsements_accepted,0.8899554456534641,1.0,mann_whitney_u
-0.28666666666666674,0.1266666666666667,B1_rules_mutable,B2_signed_nopattern,-0.10416666666666667,fraudulent_reputation_gain,0.3173796356197681,1.0,mann_whitney_u
,,B1_rules_mutable,C1_vukzero_accountability,,time_to_expulsion,1.0,1.0,logrank
-0.5833333333333335,0.6000000000000001,B1_rules_mutable,C1_vukzero_accountability,0.0,fallout_broadcasts,1.0,1.0,mann_whitney_u
-0.30000000000000004,0.3333333333333333,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.5,0.5499999999999998,B1_rules_mutable,C1_vukzero_accountability,0.0,wash_trades_accepted,1.0,1.0,mann_whitney_u
-0.7999999999999998,0.7999999999999998,B1_rules_mutable,C1_vukzero_accountability,0.0,collusive_endorsements_accepted,1.0,1.0,mann_whitney_u
-0.21333333333333337,0.21666666666666679,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_reputation_gain,1.0,1.0,mann_whitney_u
,,B2_signed_nopattern,C1_vukzero_accountability,,time_to_expulsion,1.3458151419857357e-13,2.422467255574324e-12,logrank
2.3,4.199999999999999,B2_signed_nopattern,C1_vukzero_accountability,0.4930555555555556,fallout_broadcasts,2.3542238346024447e-06,3.7667581353639115e-05,mann_whitney_u
-0.30000000000000004,0.3333333333333333,B2_signed_nopattern,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.4166666666666665,0.7833333333333334,B2_signed_nopattern,C1_vukzero_accountability,0.013888888888888888,wash_trades_accepted,0.8895132198314843,1.0,mann_whitney_u
-0.7499999999999998,0.9166666666666665,B2_signed_nopattern,C1_vukzero_accountability,0.013888888888888888,collusive_endorsements_accepted,0.8899554456534641,1.0,mann_whitney_u
-0.1366666666666665,0.29666666666666686,B2_signed_nopattern,C1_vukzero_accountability,0.10416666666666667,fraudulent_reputation_gain,0.3173796356197681,1.0,mann_whitney_u
