ci_lower,ci_upper,condition,median_time_to_expulsion,survival_probability,time
1.0,1.0,C0_naive_reputation,inf,1.0,0.0
1.0,1.0,C0_naive_reputation,inf,1.0,5.0
1.0,1.0,C0_naive_reputation,inf,1.0,6.0
1.0,1.0,C0_naive_reputation,inf,1.0,7.0
1.0,1.0,C0_naive_reputation,inf,1.0,9.0
1.0,1.0,C0_naive_reputation,inf,1.0,11.0
1.0,1.0,C1_vukzero_accountability,2.0,1.0,0.0
0.6200065959167596,0.8410274323048952,C1_vukzero_accountability,2.0,0.7500000000000001,1.0
0.2915858636218153,0.5369219890044638,C1_vukzero_accountability,2.0,0.4166666666666667,2.0
0.08568490365987783,0.2707408716291548,C1_vukzero_accountability,2.0,0.16666666666666674,3.0
0.0,0.0,C1_vukzero_accountability,2.0,0.0,6.0
