attacker_strategy,condition,detected,detection_rate,false_positive_rate,mean_collusive_endorsements_accepted,mean_fallout_broadcasts,mean_fraudulent_microtasks_accepted,mean_fraudulent_reputation_gain,mean_wash_trades_accepted,median_detected_lag_events,threshold,trials
naive,B2_signed_nopattern,60,1.0,0.0,2.0,5.0,0.25,0.8666666666666668,1.4166666666666667,4.5,1,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,5.0,0.25,0.8666666666666668,1.4166666666666667,4.5,2,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,5.0,0.25,0.8666666666666668,1.4166666666666667,4.5,3,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,5.333333333333333,0.5,1.1166666666666667,1.4166666666666667,4.5,4,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,5.333333333333333,0.5,1.1166666666666667,1.4166666666666667,4.5,5,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,6.0,0.5,1.1166666666666667,1.4166666666666667,5.5,6,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,6.0,0.5,1.1166666666666667,1.4166666666666667,5.5,7,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,6.666666666666667,0.5,1.1166666666666667,1.4166666666666667,6.0,8,60
naive,B2_signed_nopattern,60,1.0,0.0,2.0,6.75,0.5,1.1166666666666667,1.4166666666666667,6.5,9,60
naive,C1_vukzero_accountability,60,1.0,0.0,1.0,1.75,0.25,0.55,0.6666666666666666,1.0,1,60
naive,C1_vukzero_accountability,60,1.0,0.0,1.3333333333333333,1.75,0.25,0.55,0.9166666666666666,1.0,2,60
naive,C1_vukzero_accountability,60,1.0,0.0,1.75,2.6666666666666665,0.25,0.6666666666666666,1.0833333333333333,1.5,3,60
naive,C1_vukzero_accountability,60,1.0,0.0,1.8333333333333333,2.9166666666666665,0.5,0.9166666666666666,1.0833333333333333,1.5,4,60
naive,C1_vukzero_accountability,60,1.0,0.0,1.9166666666666667,3.6666666666666665,0.5,1.0333333333333334,1.25,2.0,5,60
naive,C1_vukzero_accountability,60,1.0,0.0,1.9166666666666667,3.6666666666666665,0.5,1.0333333333333334,1.25,2.0,6,60
naive,C1_vukzero_accountability,60,1.0,0.0,2.0,4.0,0.5,1.05,1.25,2.0,7,60
naive,C1_vukzero_accountability,60,1.0,0.0,2.0,4.166666666666667,0.5,1.05,1.25,2.5,8,60
naive,C1_vukzero_accountability,60,1.0,0.0,2.0,4.416666666666667,0.5,1.0666666666666667,1.25,3.0,9,60
naive,C1_vukzero_accountability,60,1.0,0.0,2.0,4.833333333333333,0.6666666666666666,1.2333333333333334,1.25,3.0,10,60
