condition,false_positive_count,false_positive_rate,family,scenario_id
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed01
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed01
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed02
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed02
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed03
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed03
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed04
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed04
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed05
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_low_seed05
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed01
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed01
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed02
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed02
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed03
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed03
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed04
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed04
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed05
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_medium_seed05
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed01
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed01
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed02
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed02
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed03
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed03
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed04
C1_vukzero_accountability,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed04
C0_naive_reputation,0,0.0,R1_fake_microtask_claims,R1_fake_microtask_claims_high_seed05
