ci_lower,ci_upper,condition_a,condition_b,effect_size,metric,p_value,p_value_holm,test
,,B1_rules_mutable,B2_signed_nopattern,,time_to_expulsion,9.298262126654403e-10,1.6736871827977924e-08,logrank
-4.05,-1.6749999999999998,B1_rules_mutable,B2_signed_nopattern,-0.46875,fallout_broadcasts,0.00024762895468088183,0.003962063274894109,mann_whitney_u
-0.4,0.39999999999999997,B1_rules_mutable,B2_signed_nopattern,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-1.0500000000000003,0.5999999999999999,B1_rules_mutable,B2_signed_nopattern,-0.03125,wash_trades_accepted,0.7984858082670347,1.0,mann_whitney_u
-1.275,0.9499999999999997,B1_rules_mutable,B2_signed_nopattern,-0.03125,collusive_endorsements_accepted,0.7984858082670347,1.0,mann_whitney_u
-0.34999999999999987,0.11499999999999977,B1_rules_mutable,B2_signed_nopattern,-0.21875,fraudulent_reputation_gain,0.08555124918998647,1.0,mann_whitney_u
,,B1_rules_mutable,C1_vukzero_accountability,,time_to_expulsion,1.0,1.0,logrank
-0.8999999999999999,0.8999999999999999,B1_rules_mutable,C1_vukzero_accountability,0.0,fallout_broadcasts,1.0,1.0,mann_whitney_u
-0.4,0.39999999999999997,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.7,0.75,B1_rules_mutable,C1_vukzero_accountability,0.0,wash_trades_accepted,1.0,1.0,mann_whitney_u
-1.1,1.05,B1_rules_mutable,C1_vukzero_accountability,0.0,collusive_endorsements_accepted,1.0,1.0,mann_whitney_u
-0.2450000000000001,0.23999999999999977,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_reputation_gain,1.0,1.0,mann_whitney_u
,,B2_signed_nopattern,C1_vukzero_accountability,,time_to_expulsion,9.298262126654403e-10,1.6736871827977924e-08,logrank
1.6749999999999998,4.0,B2_signed_nopattern,C1_vukzero_accountability,0.46875,fallout_broadcasts,0.00024762895468088183,0.003962063274894109,mann_whitney_u
-0.4,0.39999999999999997,B2_signed_nopattern,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.55,1.1,B2_signed_nopattern,C1_vukzero_accountability,0.03125,wash_trades_accepted,0.7984858082670347,1.0,mann_whitney_u
-1.0,1.2,B2_signed_nopattern,C1_vukzero_accountability,0.03125,collusive_endorsements_accepted,0.7984858082670347,1.0,mann_whitney_u
-0.1100000000000001,0.3450000000000002,B2_signed_nopattern,C1_vukzero_accountability,0.21875,fraudulent_reputation_gain,0.08555124918998647,1.0,mann_whitney_u
