attacker_strategy,condition,detected,detection_rate,false_positive_rate,mean_collusive_endorsements_accepted,mean_fallout_broadcasts,mean_fraudulent_microtasks_accepted,mean_fraudulent_reputation_gain,mean_wash_trades_accepted,median_detected_lag_events,threshold,trials
sybil_split,B2_signed_nopattern,40,1.0,0.0,2.5,5.75,0.25,1.0,1.75,9.0,1,40
sybil_split,B2_signed_nopattern,40,1.0,0.0,2.5,5.75,0.25,1.0,1.75,9.0,2,40
sybil_split,B2_signed_nopattern,40,1.0,0.0,2.5,6.375,0.25,1.0,1.75,10.0,3,40
sybil_split,B2_signed_nopattern,40,1.0,0.0,2.5,6.875,0.5,1.25,1.75,10.5,4,40
sybil_split,B2_signed_nopattern,15,0.375,0.0,2.5,6.875,0.5,1.25,1.75,1.0,5,40
sybil_split,B2_signed_nopattern,15,0.375,0.0,2.5,7.0,0.5,1.25,1.75,1.0,6,40
sybil_split,B2_signed_nopattern,15,0.375,0.0,2.5,7.0,0.5,1.25,1.75,1.0,7,40
sybil_split,B2_signed_nopattern,10,0.25,0.0,2.5,7.0,0.5,1.25,1.75,1.0,8,40
sybil_split,B2_signed_nopattern,10,0.25,0.0,2.5,7.0,0.5,1.25,1.75,1.0,9,40
sybil_split,B2_signed_nopattern,10,0.25,0.0,2.5,7.25,0.75,1.5,1.75,2.0,10,40
sybil_split,C1_vukzero_accountability,40,1.0,0.2727272727272727,1.0,1.75,0.25,0.55,0.75,1.0,1,40
sybil_split,C1_vukzero_accountability,40,1.0,0.22727272727272727,1.5,1.75,0.25,0.55,1.0,1.0,2,40
sybil_split,C1_vukzero_accountability,40,1.0,0.13636363636363635,2.125,2.75,0.25,0.7,1.25,1.5,3,40
sybil_split,C1_vukzero_accountability,40,1.0,0.13636363636363635,2.25,3.0,0.5,0.95,1.25,1.5,4,40
sybil_split,C1_vukzero_accountability,40,1.0,0.13636363636363635,2.375,4.125,0.5,1.125,1.5,2.5,5,40
sybil_split,C1_vukzero_accountability,40,1.0,0.0,2.375,4.125,0.5,1.125,1.5,2.5,6,40
sybil_split,C1_vukzero_accountability,40,1.0,0.0,2.5,5.0,0.5,1.15,1.5,3.0,7,40
sybil_split,C1_vukzero_accountability,40,1.0,0.0,2.5,5.0,0.5,1.15,1.5,3.0,8,40
sybil_split,C1_vukzero_accountability,35,0.875,0.0,2.5,5.625,0.5,1.175,1.5,3.0,9,40
sybil_split,C1_vukzero_accountability,35,0.875,0.0,2.5,5.875,0.75,1.425,1.5,3.0,10,40
