ci_lower,ci_upper,condition_a,condition_b,effect_size,metric,p_value,p_value_holm,test
,,B1_rules_mutable,B2_signed_nopattern,,time_to_expulsion,1.0,1.0,logrank
0.0,0.0,B1_rules_mutable,B2_signed_nopattern,0.0,fallout_broadcasts,1.0,1.0,mann_whitney_u
-0.2,0.19999999999999998,B1_rules_mutable,B2_signed_nopattern,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.17500000000000002,0.19999999999999998,B1_rules_mutable,B2_signed_nopattern,0.0,wash_trades_accepted,1.0,1.0,mann_whitney_u
-0.22500000000000003,0.22499999999999998,B1_rules_mutable,B2_signed_nopattern,0.0,collusive_endorsements_accepted,1.0,1.0,mann_whitney_u
-0.14500000000000007,0.15000000000000002,B1_rules_mutable,B2_signed_nopattern,0.0,fraudulent_reputation_gain,1.0,1.0,mann_whitney_u
,,B1_rules_mutable,C1_vukzero_accountability,,time_to_expulsion,1.0,1.0,logrank
0.0,0.0,B1_rules_mutable,C1_vukzero_accountability,0.0,fallout_broadcasts,1.0,1.0,mann_whitney_u
-0.2,0.19999999999999998,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.17500000000000002,0.19999999999999998,B1_rules_mutable,C1_vukzero_accountability,0.0,wash_trades_accepted,1.0,1.0,mann_whitney_u
-0.22500000000000003,0.22499999999999998,B1_rules_mutable,C1_vukzero_accountability,0.0,collusive_endorsements_accepted,1.0,1.0,mann_whitney_u
-0.14500000000000007,0.15000000000000002,B1_rules_mutable,C1_vukzero_accountability,0.0,fraudulent_reputation_gain,1.0,1.0,mann_whitney_u
,,B2_signed_nopattern,C1_vukzero_accountability,,time_to_expulsion,1.0,1.0,logrank
0.0,0.0,B2_signed_nopattern,C1_vukzero_accountability,0.0,fallout_broadcasts,1.0,1.0,mann_whitney_u
-0.2,0.19999999999999998,B2_signed_nopattern,C1_vukzero_accountability,0.0,fraudulent_microtasks_accepted,1.0,1.0,mann_whitney_u
-0.17500000000000002,0.19999999999999998,B2_signed_nopattern,C1_vukzero_accountability,0.0,wash_trades_accepted,1.0,1.0,mann_whitney_u
-0.22500000000000003,0.22499999999999998,B2_signed_nopattern,C1_vukzero_accountability,0.0,collusive_endorsements_accepted,1.0,1.0,mann_whitney_u
-0.14500000000000007,0.15000000000000002,B2_signed_nopattern,C1_vukzero_accountability,0.0,fraudulent_reputation_gain,1.0,1.0,mann_whitney_u
