condition,errors,log_chain_valid,log_path,num_log_entries,scenario_id,tamper_suppressed_history,tampering_attempted,tampering_detected
B1_rules_mutable,,,results/sq2_tamper_20260610T034028Z/trials/B1_rules_mutable/R1_fake_microtask_claims_low_seed01/accountability_mutable.jsonl,12,R1_fake_microtask_claims_low_seed01,True,True,False
C1_vukzero_accountability,entry 13: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 13: signature verification failed;entry 14: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 14: signature verification failed;entry 15: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 15: signature verification failed;entry 16: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 16: signature verification failed;entry 17: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 17: signature verification failed;entry 18: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 18: signature verification failed,False,results/sq2_tamper_20260610T034028Z/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed01/accountability.log,18,R1_fake_microtask_claims_low_seed01,False,True,True
B1_rules_mutable,,,results/sq2_tamper_20260610T034028Z/trials/B1_rules_mutable/R1_fake_microtask_claims_low_seed02/accountability_mutable.jsonl,12,R1_fake_microtask_claims_low_seed02,True,True,False
C1_vukzero_accountability,entry 13: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 13: signature verification failed;entry 14: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 14: signature verification failed;entry 15: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 15: signature verification failed;entry 16: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 16: signature verification failed;entry 17: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 17: signature verification failed;entry 18: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 18: signature verification failed,False,results/sq2_tamper_20260610T034028Z/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed02/accountability.log,18,R1_fake_microtask_claims_low_seed02,False,True,True
B1_rules_mutable,,,results/sq2_tamper_20260610T034028Z/trials/B1_rules_mutable/R1_fake_microtask_claims_low_seed03/accountability_mutable.jsonl,12,R1_fake_microtask_claims_low_seed03,True,True,False
C1_vukzero_accountability,entry 13: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 13: signature verification failed;entry 14: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 14: signature verification failed;entry 15: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 15: signature verification failed;entry 16: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 16: signature verification failed;entry 17: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 17: signature verification failed;entry 18: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 18: signature verification failed,False,results/sq2_tamper_20260610T034028Z/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed03/accountability.log,18,R1_fake_microtask_claims_low_seed03,False,True,True
B1_rules_mutable,,,results/sq2_tamper_20260610T034028Z/trials/B1_rules_mutable/R1_fake_microtask_claims_low_seed04/accountability_mutable.jsonl,12,R1_fake_microtask_claims_low_seed04,True,True,False
C1_vukzero_accountability,entry 13: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 13: signature verification failed;entry 14: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 14: signature verification failed;entry 15: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 15: signature verification failed;entry 16: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 16: signature verification failed;entry 17: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 17: signature verification failed;entry 18: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 18: signature verification failed,False,results/sq2_tamper_20260610T034028Z/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed04/accountability.log,18,R1_fake_microtask_claims_low_seed04,False,True,True
B1_rules_mutable,,,results/sq2_tamper_20260610T034028Z/trials/B1_rules_mutable/R1_fake_microtask_claims_low_seed05/accountability_mutable.jsonl,12,R1_fake_microtask_claims_low_seed05,True,True,False
C1_vukzero_accountability,entry 13: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 13: signature verification failed;entry 14: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 14: signature verification failed;entry 15: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 15: signature verification failed;entry 16: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 16: signature verification failed;entry 17: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 17: signature verification failed;entry 18: entry_hash mismatch (recomputed hash does not match stored entry_hash);entry 18: signature verification failed,False,results/sq2_tamper_20260610T034028Z/trials/C1_vukzero_accountability/R1_fake_microtask_claims_low_seed05/accountability.log,18,R1_fake_microtask_claims_low_seed05,False,True,True
B1_rules_mutable,,,results/sq2_tamper_20260610T034028Z/trials/B1_rules_mutable/R1_fake_microtask_claims_medium_seed01/accountability_mutable.jsonl,12,R1_fake_microtask_claims_medium_seed01,True,True,False
