id,category,condition,factor_runtime,factor_architecture,hardening,runtime,repetition,outcome,latency_ms,error,kind
A1,A_identity_key,C0_uncontained,runc,off,weak,runc,1,succeeded,765.732,,probe
A2,A_identity_key,C0_uncontained,runc,off,weak,runc,1,succeeded,789.785,,probe
A3,A_identity_key,C0_uncontained,runc,off,weak,runc,1,succeeded,665.435,,probe
B1,B_wallet_state,C0_uncontained,runc,off,weak,runc,1,succeeded,708.804,,probe
B2,B_wallet_state,C0_uncontained,runc,off,weak,runc,1,succeeded,698.454,,probe
C1,C_log_integrity,C0_uncontained,runc,off,weak,runc,1,succeeded,815.555,,probe
C2,C_log_integrity,C0_uncontained,runc,off,weak,runc,1,succeeded,690.663,,probe
C3,C_log_integrity,C0_uncontained,runc,off,weak,runc,1,succeeded,702.361,,probe
D1,D_network_egress,C0_uncontained,runc,off,weak,runc,1,succeeded,672.453,,probe
D2,D_network_egress,C0_uncontained,runc,off,weak,runc,1,succeeded,635.240,,probe
D3,D_network_egress,C0_uncontained,runc,off,weak,runc,1,succeeded,694.496,,probe
E1,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,succeeded,733.415,,probe
E2,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,succeeded,738.786,,probe
E3,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,succeeded,549.017,,probe
E4,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,succeeded,654.414,,probe
E5,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,contained,784.137,,probe
E6,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,contained,593.055,,probe
E7,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,contained,557.848,,probe
E8,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,succeeded,685.121,,probe
E9,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,contained,585.885,,probe
E10,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,contained,524.077,,probe
E11,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,1,succeeded,670.762,,probe
F1,F_rule_tampering,C0_uncontained,runc,off,weak,runc,1,succeeded,680.268,,probe
F2,F_rule_tampering,C0_uncontained,runc,off,weak,runc,1,succeeded,700.722,,probe
A1,A_identity_key,C0_uncontained,runc,off,weak,runc,2,succeeded,715.907,,probe
A2,A_identity_key,C0_uncontained,runc,off,weak,runc,2,succeeded,681.377,,probe
A3,A_identity_key,C0_uncontained,runc,off,weak,runc,2,succeeded,734.903,,probe
B1,B_wallet_state,C0_uncontained,runc,off,weak,runc,2,succeeded,766.117,,probe
B2,B_wallet_state,C0_uncontained,runc,off,weak,runc,2,succeeded,697.382,,probe
C1,C_log_integrity,C0_uncontained,runc,off,weak,runc,2,succeeded,707.891,,probe
C2,C_log_integrity,C0_uncontained,runc,off,weak,runc,2,succeeded,724.381,,probe
C3,C_log_integrity,C0_uncontained,runc,off,weak,runc,2,succeeded,756.718,,probe
D1,D_network_egress,C0_uncontained,runc,off,weak,runc,2,succeeded,669.770,,probe
D2,D_network_egress,C0_uncontained,runc,off,weak,runc,2,succeeded,613.540,,probe
D3,D_network_egress,C0_uncontained,runc,off,weak,runc,2,succeeded,714.571,,probe
E1,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,succeeded,670.618,,probe
E2,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,succeeded,708.219,,probe
E3,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,succeeded,543.254,,probe
E4,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,succeeded,700.936,,probe
E5,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,contained,681.585,,probe
E6,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,contained,546.747,,probe
E7,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,contained,546.657,,probe
E8,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,succeeded,648.431,,probe
E9,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,contained,628.800,,probe
E10,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,contained,628.914,,probe
E11,E_host_kernel_reach,C0_uncontained,runc,off,weak,runc,2,succeeded,766.950,,probe
